ENTRY_ID,CATALOG,ID,CATALOGO,VALOR_SIEBEL,VALOR_HOMOLOGADO,ID_VALOR_HOMOLOGADO
3601,CT005SBLTXUPDST,C,CT005SBLTXUPDST,C,Cerrado en Contra,kdrfy98753987tgh
3603,CT005SBLTXUPDST,N,CT005SBLTXUPDST,N,Cerrado a Favor,87b6d8768
3605,CT005SBLTXUPDST,S,CT005SBLTXUPDST,S,Cerrado a Favor,wfr982382yh
3801,CT005RVCTXFACT,02,CT005RVCTXFACT,02,"Hog
",rsFXefVitxucrE373kjVk61ktfU
3803,CT005RVCTXFACT,03,CT005RVCTXFACT,03,"Corp
",JpMU9yzetxud4k373ljVk61ktfU
3805,CT005RVCTXFACT,04,CT005RVCTXFACT,04,"Corp
",ycSEQFo2txudOE373mjVk61ktfU
3807,CT005RVCTXFACT,05,CT005RVCTXFACT,05,"Corp
",2j1q7DdKtxudhk373njVk61ktfU
3809,CT005RVCTXFACT,06,CT005RVCTXFACT,06,"Corp
",Dt5MwcyJtxue/U373ojVk61ktfU
3811,CT005RVCTXFACT,07,CT005RVCTXFACT,07,"Corp
",REdQLVMYtxueJ-373pjVk61ktfU
3813,CT005RVCTXFACT,08,CT005RVCTXFACT,08,"Corp
",XWD2Omi6txuecU373qjVk61ktfU
3815,CT005RVCTXFACT,09,CT005RVCTXFACT,09,"Corp
",P2HNC4Lbtxues-373rjVk61ktfU
3817,CT005RVCTXFACT,10,CT005RVCTXFACT,10,"Corp
",dzri-y-Ltxuf1k373sjVk61ktfU
3819,CT005RVCTXFACT,11,CT005RVCTXFACT,11,"Corp
",oM0gDz1rtxufHU373tjVk61ktfU
3821,CT005RVCTXFACT,12,CT005RVCTXFACT,12,"Corp
",EG7bjDkCtxufTE373ujVk61ktfU
3823,CT005RVCTXFACT,13,CT005RVCTXFACT,13,"Corp
",Rxuh-w0qtxufqU373vjVk61ktfU
3825,CT005RVCTXFACT,14,CT005RVCTXFACT,14,"Corp
",1x5jMZ/itxugG-373wjVk61ktfU
3827,CT005RVCTXFACT,15,CT005RVCTXFACT,15,"Corp
",D9ysMSHttxugVU373xjVk61ktfU
3829,CT005RVCTXFACT,16,CT005RVCTXFACT,16,"Corp
",r6pySViBtxughE373yjVk61ktfU
3831,CT005RVCTXFACT,17,CT005RVCTXFACT,17,"Corp
",3wJJMMAptxugx-373zjVk61ktfU
3833,CT005RVCTXFACT,18,CT005RVCTXFACT,18,"Corp
",YVLyDI6itxuh6U374-jVk61ktfU
3835,CT005RVCTXFACT,19,CT005RVCTXFACT,19,"Corp
",8h/uWtTntxuhME374/jVk61ktfU
3837,CT005RVCTXFACT,20,CT005RVCTXFACT,20,"Corp
",HKgcZj-stxuhbk3740jVk61ktfU
3839,CT005RVCTXFACT,21,CT005RVCTXFACT,21,"Corp
",oU4Ql1MYtxuhrU3741jVk61ktfU
3841,CT005RVCTXFACT,22,CT005RVCTXFACT,22,"Corp
",PR1T4ou6txui9-3742jVk61ktfU
3843,CT005RVCTXFACT,23,CT005RVCTXFACT,23,"Corp
",gvdkh4DUtxuiOk3743jVk61ktfU
3845,CT005RVCTXFACT,24,CT005RVCTXFACT,24,"Corp
",dAK/3mxztxuieE3744jVk61ktfU
3847,CT005RVCTXFACT,25,CT005RVCTXFACT,25,"Corp
",o7g5dIUUtxuiq-3745jVk61ktfU
3849,CT005RVCTXFACT,26,CT005RVCTXFACT,26,"Corp
",/Ug7XATFtxuj/k3746jVk61ktfU
3851,CT005RVCTXFACT,27,CT005RVCTXFACT,27,"Corp
",YsMkwS22txujJE3747jVk61ktfU
3853,CT005RVCTXFACT,28,CT005RVCTXFACT,28,"Corp
",3u9yFGobtxujYk3748jVk61ktfU
3855,CT005RVCTXFACT,29,CT005RVCTXFACT,29,"Corp
",sNh6wIsstxujwE3749jVk61ktfU
3857,CT005RVCTXFACT,30,CT005RVCTXFACT,30,"Corp
",sQpsrZUatxukDk374AjVk61ktfU
3859,CT005RVCTXFACT,31,CT005RVCTXFACT,31,"Corp
",8XjSOcw2txukXE374BjVk61ktfU
3861,CT005RVCTXFACT,32,CT005RVCTXFACT,32,"Corp
",zknGrqhhtxukj-374CjVk61ktfU
3863,CT005RVCTXFACT,33,CT005RVCTXFACT,33,"Corp
",RkXLVOSMtxukyk374DjVk61ktfU
3865,CT005RVCTXFACT,34,CT005RVCTXFACT,34,"Corp
",f/yxnaIHtxulGE374EjVk61ktfU
3867,CT005RVCTXFACT,35,CT005RVCTXFACT,35,"Corp
",Sy9zGBIVtxuldk374FjVk61ktfU
3869,CT005RVCTXFACT,36,CT005RVCTXFACT,36,"Corp
",q-XEH4EwtxulxE374GjVk61ktfU
3871,CT005RVCTXFACT,37,CT005RVCTXFACT,37,"Corp
",digYZTl/txumAk374HjVk61ktfU
3873,CT005RVCTXFACT,38,CT005RVCTXFACT,38,"Corp
",B-XFC6/GtxumQU374IjVk61ktfU
3875,CT005RVCTXFACT,39,CT005RVCTXFACT,39,"Corp
",A6AneY3ktxumk-374JjVk61ktfU
